Id,map_id,Market,address,description,pic,link,Icon,lat,lng,anim,title,Infoopen,category,approved,retina,type,did,sticky,other_data
0,13,New York,"221 Smith St, Brooklyn, NY 11201, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,40.6842838,-73.9919281,,leyenda,yes,,1,1,,,,
1,13,New York,"4 Bleecker St, New York, NY 10012, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,40.7252328,-73.9927354,,ghost donkey,yes,,1,1,,,,
2,13,New York,"197 2nd Ave, New York, NY 10003, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,40.7313711,-73.9860217,,black emporer,yes,,1,1,,,,
3,13,New York,"18 Spring St, New York, NY 10012, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,40.7213105,-73.9950142,,mothers ruin,yes,,1,1,,,,
4,13,New York,"105 1st Avenue, New York, NY 10003, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,40.7267784,-73.9862398,,mister paradise,yes,,1,1,,,,
5,13,New York,"94 Avenue A, New York, NY 10009, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,40.7254892,-73.9836739,,august laura,yes,,1,1,,,,
6,13,New York,"128 W Houston St, New York, NY 10012, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,40.72787,-74.001067,,bar moga,yes,,1,1,,,,
7,13,New York,"190 West 4th Street, New York, NY 10014, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,40.7326969,-74.0022796,,the spaniard,yes,,1,1,,,,
8,13,New York,"123 Lexington Ave, New York, NY 10016, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,40.7427536,-73.9820674,,broken shaker,yes,,1,1,,,,
9,13,New York,"2122 Beekman Pl, Brooklyn, NY 11225, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,40.6599147,-73.9608634,,erv's on beekman,yes,,1,1,,,,
10,13,Miami,"2727 Indian Creek Dr, Miami Beach, FL 33140, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,25.8045687,-80.1264365,,27 restaurant,yes,,1,1,,,,
11,13,Miami,"437 SW 2nd St, Miami, FL 33130, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,25.7721277,-80.2017376,,casa florida,yes,,1,1,,,,
12,13,Miami,"3456 N Miami Ave, Miami, FL 33127, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,25.8092934,-80.195584,,the sylvester,yes,,1,1,,,,
13,13,Miami,"971 SW 8th St, Miami, FL 33130, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,25.7662659,-80.2104537,,cafe la trova,yes,,1,1,,,,
14,13,Miami,"1690 Collins Ave, Miami Beach, FL 33139, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,25.7921705,-80.1300788,,the regent cocktail club,yes,,1,1,,,,
15,13,Miami,"75 SE 6th St, Miami, FL 33131, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,25.7684072,-80.1910373,,better days,yes,,1,1,,,,
16,13,Miami,"251 NW 25th St, Miami, FL 33127, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,25.8008908,-80.2002122,,kyu,yes,,1,1,,,,
17,13,Miami,"237 20th St ste b, Miami Beach, FL 33139, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,25.7959836,-80.1297409,,sweet liberty,yes,,1,1,,,,
18,13,Miami,"2637 N Miami Ave, Miami, FL 33127, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,25.802335,-80.194733,,beaker & gray,yes,,1,1,,,,
19,13,Miami,"500 Brickell Ave ste d, Miami, FL 33131, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,25.7684072,-80.1910373,,baby jane,yes,,1,1,,,,
20,13,Miami,"2727 Indian Creek Dr, Miami Beach, FL 33140, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,25.8045687,-80.1264365,,broken shaker,yes,,1,1,,,,
21,13,Miami,"207 NE 1st St, Miami, FL 33132, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,25.7753875,-80.1900783,,mama tried,yes,,1,1,,,,
22,13,Tampa,"205 Westshore Plaza, Tampa, FL 33609, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,27.9464828,-82.5265786,,besito mexican,yes,,1,1,,,,
23,13,Tampa,"365 Main St, Dunedin, FL 34698, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,28.0115872,-82.7882815,,casa tina,yes,,1,1,,,,
24,13,Tampa,"911 Central Ave, St. Petersburg, FL 33705, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,27.771326,-82.6471811,,buya ramen,yes,,1,1,,,,
25,13,Tampa,"1704 E 7th Ave, Tampa, FL 33605, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,27.960501,-82.4402067,,big easy bar,yes,,1,1,,,,
26,13,Tampa,"1327 E 7th Ave, Tampa, FL 33605, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,27.9600238,-82.4444005,,the bricks,yes,,1,1,,,,
27,13,Tampa,"633 N Franklin St, Tampa, FL 33602, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,27.9495214,-82.458541,,cws gin joint,yes,,1,1,,,,
28,13,Texas,"1878 Sylvan Ave e150, Dallas, TX 75208, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.7691775,-96.8355212,,jettison,yes,,1,1,,,,
29,13,Texas,"2010 Greenville Ave, Dallas, TX 75206, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.8142496,-96.7699138,,gung ho,yes,,1,1,,,,
30,13,Texas,"2008 Greenville Ave, Dallas, TX 75206, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.8141897,-96.7700374,,hg sply,yes,,1,1,,,,
31,13,Texas,"2614 Boll St, Dallas, TX 75204, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.7979763,-96.8019654,,bowen house,yes,,1,1,,,,
32,13,Texas,"3090 Oliver St ste b 110, Dallas, TX 75205, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.8195226,-96.7890829,,hero,yes,,1,1,,,,
33,13,Texas,"604 N Tyler St, Dallas, TX 75208, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.7496496,-96.8372355,,tiny victories,yes,,1,1,,,,
34,13,Texas,"1617 Hi Line Dr, Dallas, TX 75207, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.7952162,-96.8184364,,wheelhouse,yes,,1,1,,,,
35,13,Texas,"605 Brazos St, Austin, TX 78701, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,30.2681716,-97.7410422,,firehouse lounge,yes,,1,1,,,,
36,13,Texas,"307 W 5th St, Austin, TX 78701, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,30.2676574,-97.7462962,,roosevelt room,yes,,1,1,,,,
37,13,Texas,"3100 Fannin St #115, Houston, TX 77004, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,29.7415403,-95.3761659,,two headed dog,yes,,1,1,,,,
38,13,Texas,"5802 Fulton St, Houston, TX 77009, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,29.8118875,-95.3695423,,monkey's tail,yes,,1,1,,,,
39,13,Texas,"1010 Banks St, Houston, TX 77006, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,29.7303325,-95.3916852,,grand prize,yes,,1,1,,,,
40,13,Texas,"1919 Greenville Ave, Dallas, TX 75206, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.8141255,-96.7704645,,alamo club,yes,,1,1,,,,
41,13,Texas,"1530 Main St, Dallas, TX 75201, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.7807089,-96.7984434,,midnight rambler,yes,,1,1,,,,
42,13,Texas,"2714 Elm St, Dallas, TX 75226, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.784475,-96.784087,,armoury de,yes,,1,1,,,,
43,13,Texas,"1914 Greenville Ave, Dallas, TX 75206, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.8133152,-96.7700009,,leela's,yes,,1,1,,,,
44,13,Texas,"1915 Greenville Ave, Dallas, TX 75206, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.8139371,-96.7704949,,abv,yes,,1,1,,,,
45,13,Texas,"5855 Maple Ave #190, Dallas, TX 75235, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.8222142,-96.8381986,,maple landing,yes,,1,1,,,,
46,13,Texas,"400 Crescent Ct, Dallas, TX 75201, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.7945621,-96.8044675,,nobu,yes,,1,1,,,,
47,13,Texas,"9028 Garland Rd, Dallas, TX 75218, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.8276979,-96.7088693,,lounge here,yes,,1,1,,,,
48,13,Texas,"1601 Main St, Dallas, TX 75201, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,32.7814061,-96.798312,,tower club,yes,,1,1,,,,
49,13,SoCal,"1607 Pacific Ave, Venice, CA 90291, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,33.9874504,-118.4723025,,gran blanco,yes,,1,1,,,,
50,13,SoCal,"1263 W Temple St, Los Angeles, CA 90026, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,34.0663995,-118.2541135,,thunderbolt,yes,,1,1,,,,
51,13,SoCal,"1927 Hillhurst Ave, Los Angeles, CA 90027, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,34.1062223,-118.2877828,,big bar,yes,,1,1,,,,
52,13,SoCal,"9010 Melrose Ave, West Hollywood, CA 90069, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,34.0805544,-118.3882164,,olivetta,yes,,1,1,,,,
53,13,SoCal,"416 W 8th St, Los Angeles, CA 90014, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,34.0448071,-118.2565653,,broken shaker,yes,,1,1,,,,
54,13,SoCal,"7465 Melrose Ave, Los Angeles, CA 90046, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,34.0838389,-118.3527123,,melrose umbrella co,yes,,1,1,,,,
55,13,SoCal,"12477 Washington Blvd, Los Angeles, CA 90066, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,33.9970245,-118.4306542,,corner door,yes,,1,1,,,,
56,13,SoCal,"107 E 6th St, Los Angeles, CA 90014, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,34.045111,-118.249511,,las perlas,yes,,1,1,,,,
57,13,SoCal,"1228 Sunset Blvd, Los Angeles, CA 90026, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,34.069022,-118.2507193,,bar henry,yes,,1,1,,,,
58,13,SoCal,"5221 Hollywood Blvd, Los Angeles, CA 90027, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,34.1019041,-118.3042997,,harvard & stone,yes,,1,1,,,,
59,13,SoCal,"5635 N Figueroa St, Los Angeles, CA 90042, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,34.10962,-118.19328,,good housekeeping,yes,,1,1,,,,
60,13,SoCal,"1540 Sunset Blvd, Los Angeles, CA 90026, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,34.0762828,-118.2567722,,lowboy,yes,,1,1,,,,
61,13,SoCal,"7360 Beverly Blvd, Los Angeles, CA 90036, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,34.0759024,-118.3503522,,petty cash,yes,,1,1,,,,
62,13,SoCal,"1115 E Wardlow Rd, Long Beach, CA 90807, USA",Example of venue text,https://thirstymag.com/wp-content/uploads/2020/02/national-margarita-day-new-york.jpg,,,33.8191142,-118.1780234,,roxannes,yes,,1,1,,,,
